rank,team,power_ranking,betting_power_ranking
1,LA,5.7,4.5
2,SEA,3.9,5.4
3,BUF,3.8,3.8
4,NE,3.4,3.5
5,DET,3.3,2.3
6,KC,3.0,2.2
7,BAL,2.6,2.7
8,HOU,2.3,0.7
9,GB,2.2,2.0
10,DEN,2.0,1.3
11,JAX,2.0,0.3
12,CHI,1.8,3.7
13,SF,1.7,2.7
14,CIN,1.4,-0.1
15,LAC,0.9,2.5
16,PHI,0.6,1.9
17,DAL,0.2,1.9
18,TB,-0.1,-1.8
19,MIN,-0.1,1.9
20,IND,-0.8,-2.6
21,NO,-1.1,-3.1
22,ATL,-1.2,-0.6
23,WAS,-1.2,-1.0
24,PIT,-1.3,0.7
25,CAR,-2.0,-0.5
26,NYG,-2.1,-2.3
27,MIA,-3.5,-6.1
28,CLE,-3.8,-5.6
29,ARI,-5.7,-6.3
30,TEN,-5.9,-4.3
31,NYJ,-5.9,-5.1
32,LV,-6.3,-4.3
