,season,team,projected_total_dvoa
640,2026,SEA,0.22
641,2026,HOU,0.179
642,2026,LAR,0.213
643,2026,DET,0.103
644,2026,BUF,0.122
645,2026,BAL,0.044
646,2026,CIN,0.037
647,2026,NE,0.079
648,2026,DEN,0.065
649,2026,GB,0.069
650,2026,TB,0.012
651,2026,PHI,0.052
652,2026,IND,0.044
653,2026,CHI,0.033
654,2026,SF,0.054
655,2026,KC,0.079
656,2026,JAX,0.053
657,2026,DAL,0.028
658,2026,LAC,0.032
659,2026,PIT,-0.05
660,2026,MIN,-0.041
661,2026,CAR,-0.084
662,2026,WAS,-0.03
663,2026,ARI,-0.057
664,2026,NYG,-0.106
665,2026,ATL,-0.152
666,2026,TEN,-0.129
667,2026,MIA,-0.121
668,2026,OAK,-0.141
669,2026,NO,-0.209
670,2026,NYJ,-0.163
671,2026,CLE,-0.255
