"Team","Point Spread Rating Points","Point Spread Rating QB","Strength of Schedule To Date","Strength of Schedule Remaining","Projections Avg. Wins","Projections Make Playoffs","Projections Win Division Title","Projections Win Conf Champ","Projections Win Super Bowl"
"LA","6.4368175","5.5","null","3","11.5662","79.39","46.43","21.84","14.13"
"SEA","4.81475","3.5","null","6","10.7934","70.07","33.31","14.940000000000001","9.120000000000001"
"BUF","4.6108896","7","null","12","10.796","76.81","56.53","16.07","7.249999999999999"
"BLT","3.605764","7","null","28","10.7127","73.05","51.11","13.270000000000001","5.6000000000000005"
"LAC","3.2323818","6.5","null","5","9.7815","61.23","32.66","9.959999999999999","4.3"
"HST","3.1460139","3.5","null","15","10.1316","66.27","44.68","11.24","4.7"
"PHI","3.0922084","4","null","21","10.2699","64.88000000000001","47.71","10.76","6.23"
"NE","2.8928774","5.5","null","20","9.9004","64.78","38.879999999999995","9.17","4.05"
"DEN","2.8283992","3","null","10","9.8398","61.970000000000006","33.01","9.77","4.5"
"DET","2.6181462","3.5","null","30","10.768","67.78","38.91","9.879999999999999","5.64"
"SF","2.5483431","3.5","null","16","9.815","55.38999999999999","19.830000000000002","7.8100000000000005","4.44"
"KC","2.3968171","7","null","13","9.6548","58.58","29.580000000000002","8.27","3.6700000000000004"
"GB","2.3641678","4.5","null","17","9.6384","53.459999999999994","25.89","7.739999999999999","4.26"
"JAX","1.6578419","4.5","null","8","9.3433","55.120000000000005","33.07","7.99","3.17"
"CHI","1.3944701","4","null","14","9.2074","47.33","20.64","5.86","3.08"
"DAL","0.8411947","5.5","null","4","8.6562","41.260000000000005","25.169999999999998","4.72","2.68"
"MIN","-0.0821976","3.5","null","27","8.5379","36.93","14.56","3.4000000000000004","1.68"
"CIN","-0.1789223","6","null","31","9.0378","48.93","24.67","5.12","1.83"
"PIT","-0.4983081","2.5","null","24","8.3673","41.08","19.509999999999998","3.5700000000000003","1.27"
"TB","-0.9135975","3.5","null","22","8.1793","40.089999999999996","32.31","3.1199999999999997","1.59"
"IND","-1.2491012","2","null","26","7.9089","33.95","15.110000000000001","2.94","1.15"
"WAS","-1.3718623","3.5","null","7","7.6123","27.99","15.07","2.55","1.23"
"NYG","-2.0791124","2","null","11","7.3281","23.74","12.049999999999999","1.83","0.96"
"ATL","-2.7755707","1.5","null","25","7.2427","29.37","22.14","1.95","0.9299999999999999"
"CAR","-2.8553546","1.5","null","19","6.9358","25.72","19.82","1.6400000000000001","0.76"
"NO","-3.0151577","2","null","32","7.8104","33.93","25.729999999999997","1.7999999999999998","0.95"
"TEN","-4.1254688","1.5","null","18","6.3978","17.43","7.140000000000001","0.9900000000000001","0.27999999999999997"
"LV","-4.3212071","1.5","null","9","6.1845","14.78","4.75","0.66","0.22"
"CLV","-5.7609715","0.5","null","29","5.9056","13.120000000000001","4.71","0.52","0.19"
"NYJ","-6.2383734","3","null","23","5.5059","9.59","3.5000000000000004","0.27999999999999997","0.06"
"ARZ","-7.1203627","1.5","null","1","4.1822","2.67","0.43","0.16","0.05"
"MIA","-8.1539243","2","null","2","3.9889","3.3099999999999996","1.09","0.18","0.03"
