"Team","Point Spread Rating Points","Point Spread Rating QB","Strength of Schedule To Date","Strength of Schedule Remaining","Projections Avg. Wins","Projections Make Playoffs","Projections Win Division Title","Projections Win Conf Champ","Projections Win Super Bowl"
"LA","6.4368208","5.5","null","3","11.5515","79.14999999999999","46.29","21.709999999999997","13.969999999999999"
"SEA","4.8147923","3.5","null","6","10.811","70.53","33.01","14.829999999999998","9.180000000000001"
"BUF","4.610869","7","null","12","10.7932","77.62","56.34","16.49","7.46"
"BLT","3.6057492","7","null","28","10.7739","73.7","52.349999999999994","13.08","5.45"
"LAC","3.2324328","6.5","null","5","9.8079","61.050000000000004","32.4","10.39","4.95"
"HST","3.1459421","3.5","null","15","10.064","65.42999999999999","43.63","10.209999999999999","4.15"
"PHI","3.0922026","4","null","21","10.2287","63.83","47.43","10.86","6.41"
"NE","2.89291","5.5","null","20","9.9128","64.58","39.11","9.879999999999999","4.15"
"DEN","2.8283189","3","null","10","9.8083","60.68","32.82","10.040000000000001","4.29"
"DET","2.6180831","3.5","null","30","10.6994","67.21000000000001","37.169999999999995","10.12","5.53"
"SF","2.5483541","3.5","null","16","9.7978","55.06999999999999","20.349999999999998","7.9399999999999995","4.64"
"KC","2.3968873","7","null","13","9.7226","60","30.490000000000002","8.35","3.37"
"GB","2.3641953","4.5","null","17","9.7131","54.71","26.57","7.68","4.33"
"JAX","1.6578403","4.5","null","8","9.4144","56.06","33.11","7.739999999999999","3.27"
"CHI","1.394558","4","null","14","9.2466","46.88","21.48","5.6000000000000005","3.27"
"DAL","0.8411877","5.5","null","4","8.6501","40.98","25.06","5.12","2.67"
"MIN","-0.0821766","3.5","null","27","8.5115","37.2","14.78","3.7800000000000002","1.92"
"CIN","-0.1789818","6","null","31","8.9757","48.25","24.01","4.66","1.73"
"PIT","-0.4983411","2.5","null","24","8.398","41.03","19.189999999999998","3.53","1.23"
"TB","-0.9136384","3.5","null","22","8.2273","42.53","33.879999999999995","3.5900000000000003","1.83"
"IND","-1.2491307","2","null","26","7.935","34.22","16.5","2.83","0.9299999999999999"
"WAS","-1.3718652","3.5","null","7","7.6331","28.03","15.010000000000002","2.1399999999999997","1.0999999999999999"
"NYG","-2.0791048","2","null","11","7.3333","24.23","12.5","1.77","0.9400000000000001"
"ATL","-2.7755763","1.5","null","25","7.2111","28.48","21.43","1.8499999999999999","0.9199999999999999"
"CAR","-2.8552547","1.5","null","19","7.0011","25.480000000000004","19.509999999999998","1.3","0.66"
"NO","-3.0151095","2","null","32","7.7332","33.17","25.180000000000003","1.66","0.8099999999999999"
"TEN","-4.1252534","1.5","null","18","6.3479","17.03","6.76","1.02","0.35000000000000003"
"LV","-4.3212006","1.5","null","9","6.1528","14.649999999999999","4.29","0.6799999999999999","0.22"
"CLV","-5.7611884","0.5","null","29","5.8971","12.98","4.45","0.5700000000000001","0.13999999999999999"
"NYJ","-6.2383748","3","null","23","5.5108","9.45","3.44","0.43","0.08"
"ARZ","-7.1203301","1.5","null","1","4.1753","2.52","0.35000000000000003","0.05","0.02"
"MIA","-8.1539288","2","null","2","3.9615","3.27","1.11","0.1","0.03"
