lineopen,line,road,home,linemass,linepi,linepim,linepib,linedonchess,linecong,linemidweek,linedok,linebihl,linerwp,lineexcel,linegt,linetalis,linepugh,lineclean,linehanson,linenfelo,linedwig,lineffw,linestjohn,lineespn,neutral,linepfz,linesag,linesagr,linesagpred,linesaggm,linel1,linel2,linel2to,linejohnson,linecurry,lineash,linel2h,linemoore,linepyth,linepig,lineelo,lineeff,linelog,linekerns,linecoff,lineppg,lineteamrank,linedunk,linedoi,linekam,lineargh,linecongrove,lineavg,linemedian,linestd,phcover,phwin,lineca
4,3.5,New England,Seattle,6.66,,,,2.3,,3.5,,,,,5,,,9,,,,4,,3.6431122277,0,5.35,,,,,9.0544,9.0747,8.236,,,,9.5425,,3.9086,,7.542550848,3.7798371756,2.834265,,,3.2352941176,4.8,,2.47,,,,5.5034058981,4.9,2.410632045,0.540884796,0.6540720712,3.5
2.5,3.5,San Francisco,LA Rams,2.17,,,,4.3,,3.5,,,,,5,,,13,,,,-2.4,,,0,3.275,,,,,8.6248,8.7337,3.6713,,,,7.0279,,6.4209,,6.851053597,6.0225212255,0.60474,,,8.2352941176,5.7,,3.71,,,,5.554304596,5.7,3.5211908452,0.5415630916,0.6529659196,3.5
-2.5,-2.5,Chicago,Carolina,-1.08,,,,-2.7,,-2.5,,,,,0.01,,,-6.5,,,,-2,,,0,-1.96,,,,,-1.6612,-1.2849,0.966,,,,5.1335,,-1.1661,,-0.424481192,-0.13158,-0.96072,,,-3.588235294,-2.1,,2.47,,,,-1.410033099,-1.2849,2.0530905042,0.5223179244,0.459390644,-2.5
2.5,4,Tampa Bay,Cincinnati,1.38,,,,3.3,,4,,,,,4,,,-6,,,,-9.4,,,0,-0.955,,,,,-1.7137,-1.3401,0.2579,,,,-5.3711,,1.5114,,4.123079193,1.9656508201,-3.327855,,,-0.764705882,4.2,,1.85,,,,0.1609682754,1.38,3.8104375597,0.4228856179,0.5045235832,3.5
6.5,7,New Orleans,Detroit,7.79,,,,8.5,,7,,,,,6,,,23.5,,,,3,,,0,10.02,,,,,10.266,9.9619,8.5858,,,,8.4859,,8.9886,,4.531431268,7.6570922847,2.162595,,,10.529411765,8.7,,5.57,,,,8.9066823545,8.5858,4.6023214985,0.5381572971,0.7314809869,7
-2.5,1,Buffalo,Houston,0.63,,,,-1.7,,0,,,,,0.01,,,1.5,,,,0.2,,,0,7.53,,,,,5.5042,5.5004,1.3562,,,,2.5374,,3.546,,3.871218253,3.1592174863,2.33004,,,1.5882352941,-0.5,,3.09,,,,2.3523647356,1.5882352941,2.5568562134,0.5275986875,0.5671377113,1
-3.5,-3.5,Baltimore,Indianapolis,-0.47,,,,-4.5,,-3.5,,,,,-3,,,10.5,,,,3.6,,,0,0.685,,,,,5.2659,5.179,3.795,,,,-4.0832,,3.9574,,1.035224841,3.6758969145,1.827525,,,3.6470588235,-4.4,,1.23,,,,2.0133653719,3.6,4.0153113508,0.6097928319,0.5561708268,-2.5
7.5,8,Cleveland,Jacksonville,7.91,,,,11.8,,7.5,,,,,4,,,22.5,,,,3.5,,,0,12.66,,,,,7,7,12.9225,,,,7,,12.9964,,12.881544774,10.111240974,12.0045,,,16,9.8,,17.97,,,,11.270112383,11.8,5.1296192567,0.5648344469,0.7798387192,8.5
2,3,Atlanta,Pittsburgh,3.75,,,,3.1,,3,,,,,3,,,9.5,,,,-0.5,,,0,3.84,,,,,3.8765,3.8745,1.8795,,,,3.1791,,5.4634,,1.03339603,4.7582822086,1.21611,,,5.4117647059,3.6,,7.43,,,,4.0011561963,3.84,2.4254727502,0.5204562354,0.6133637265,3
2.5,2,N.Y. Jets,Tennessee,2.97,,,,2.6,,2.5,,,,,2,,,-2.5,,,,-3.3,,,0,2.01,,,,,6.2492,6.4061,2.3566,,,,8.4856,,2.9581,,7.8513942421,2.9122782539,0.4917,,,2.5294117647,4.9,,1.23,,,,2.744872284,2.6,2.9783415715,0.5151633407,0.5777446571,2
