road,home,lineopen,line,date,week,totmass,totbihl,totexcel,totdonchess,totdokter,totgrok,tottalis,totpugh,totclean,totround,totpirate,linemidweek,tothanson,totffw,totrwp,totsag,totstjohn,totashby,totcurry,totcoffey,totkerns,totargh,totavg,totmed,totstd,min,max
New England,Seattle,45,44.5,24358,1,45.6,,,44.2633,,,,,51,,,,,44,,,,,,,,,46.215825,44.93165,3.2654660294,44,51
San Francisco,LA Rams,48.5,48,24359,1,48.59,,,47.77578,,,,,53,,,,,42.5,,,,,,,,,47.966445,48.18289,4.3067339077,42.5,53
Chicago,Carolina,45.5,47,24362,1,45.26,,,46.99012,,,,,48.5,,,,,43.9,,,,,,,,,46.16253,46.12506,2.0068444227,43.9,48.5
Tampa Bay,Cincinnati,52.5,50.5,24362,1,48.46,,,50.74316,,,,,51,,,,,54.4,,,,,,,,,51.15079,50.87158,2.4485789273,48.46,54.4
New Orleans,Detroit,49,50.5,24362,1,46.55,,,49.1332,,,,,48.5,,,,,47,,,,,,,,,47.7958,47.75,1.22063531,46.55,49.1332
Buffalo,Houston,44.5,44.5,24362,1,47.45,,,45.2311,,,,,49.5,,,,,47,,,,,,,,,47.295275,47.225,1.7543049818,45.2311,49.5
Baltimore,Indianapolis,48.5,48,24362,1,48.53,,,51.414,,,,,51.5,,,,,48.8,,,,,,,,,50.061,50.107,1.6161076697,48.53,51.5
Cleveland,Jacksonville,40.5,40.5,24362,1,43.75,,,41.71242,,,,,44.5,,,,,42.4,,,,,,,,,43.090605,43.075,1.2645849375,41.71242,44.5
Arizona,LA Chargers,45.5,47.5,24362,1,44.79,,,46.12638,,,,,47,,,,,39.3,,,,,,,,,44.304095,45.45819,3.457633913,39.3,47
Miami,Las Vegas,39.5,40.5,24362,1,43.72,,,41.40564,,,,,42.5,,,,,49.1,,,,,,,,,44.18141,43.11,3.4125975179,41.40564,49.1
Green Bay,Minnesota,45.5,46,24362,1,44.22,,,45.4255,,,,,46.5,,,,,19.4,,,,,,,,,38.886375,44.82275,13.024256955,19.4,46.5
Dallas,N.Y. Giants,48,48.5,24362,1,47.62,,,48.6375,,,,,55.5,,,,,42.9,,,,,,,,,48.664375,48.12875,5.1976029631,42.9,55.5
Washington,Philadelphia,47.5,45.5,24362,1,45.86,,,47.1402,,,,,48.5,,,,,43.2,,,,,,,,,46.17505,46.5001,2.2573646899,43.2,48.5
Atlanta,Pittsburgh,41.5,42.5,24362,1,44.31,,,42.4278,,,,,47.5,,,,,41.9,,,,,,,,,44.03445,43.3689,2.5313478379,41.9,47.5
N.Y. Jets,Tennessee,38.5,39.5,24362,1,45.77,,,38.94652,,,,,44.5,,,,,47.4,,,,,,,,,44.15413,45.135,3.6690387425,38.94652,47.4
Denver,Kansas City,42.5,43,24363,1,41.72,,,43.8033,,,,,47,,,,,47.5,,,,,,,,,45.005825,45.40165,2.7349805098,41.72,47.5
