season,id,name,plays,qb_epa_per,qb_epa_adj_per,qb_epa,yac_adj,drop_adj,int_adj,sack_adj,fumble_adj,dpi_adj,sos_adj,weather_adj,total_adj,qb_epa_adj,epa_rank,epa_adj_rank,rank_chg
2025,00-0038128,M.Willis,58,0.55545,0.61724,32.2,0.1,-2.1,-1.3,0.4,5.9,0.4,0,0.2,3.6,35.8,2,1,1
2025,00-0033869,M.Trubisky,39,0.65944,0.37436,25.7,-3.3,-0.3,-2.1,-0.1,-0.3,0.3,-5.7,0.4,-11.1,14.6,1,2,-1
2025,00-0037834,B.Purdy,343,0.26013,0.29971,89.2,2.8,-8.1,12.7,5.1,-3.1,1.4,2.6,0.2,13.6,102.8,6,3,3
2025,00-0039851,D.Maye,657,0.31496,0.24201,206.9,-6.7,-13.4,-8.9,2.6,-6.3,-1.3,-13.9,0,-47.9,159,3,4,-1
2025,00-0035993,T.Huntley,97,0.20218,0.24124,19.6,6.3,-0.4,-3.2,0.5,-0.7,0.2,0.9,0.2,3.8,23.4,10,5,5
2025,00-0036264,J.Love,523,0.28681,0.23671,150,-6.7,-7.5,-3.4,-1.5,-7.1,0.5,-1.9,1.4,-26.2,123.8,5,6,-1
2025,00-0040206,R.Leonard,81,0.02322,0.21481,1.9,6.2,9.2,-2.7,-0.4,0.1,-1,4.3,-0.2,15.5,17.4,36,7,29
2025,00-0036442,J.Burrow,304,0.154,0.21217,46.8,2.7,-11,19.8,-3.6,-2,0,10.8,1,17.7,64.5,18,8,10
2025,00-0031503,J.Winston,80,0.30169,0.20625,24.1,-2.5,-1.3,-1.5,2.8,-3.5,-1.1,-0.9,0.4,-7.6,16.5,4,9,-5
2025,00-0034857,J.Allen,631,0.2183,0.19921,137.7,-14.5,2.3,-12.7,1.4,6.1,-0.7,4.2,1.9,-12,125.7,9,10,-1
2025,00-0033077,D.Prescott,718,0.19062,0.18552,136.9,5.8,13,-6.6,-0.1,0.2,-4.5,-9,-2.5,-3.7,133.2,11,11,0
2025,00-0026498,M.Stafford,666,0.22754,0.18288,151.5,-9.8,-8.7,-4.7,-8,4.1,0.4,-2.9,-0.1,-29.7,121.8,8,12,-4
2025,00-0034796,L.Jackson,422,0.12295,0.16493,51.9,-8.8,5.5,6.9,4.6,-0.9,-0.3,10.3,0.4,17.7,69.6,20,13,7
2025,00-0033106,J.Goff,650,0.15714,0.14923,102.1,-26.8,11.1,-4.7,0.4,9.6,1.8,5.3,-1.8,-5.1,97,17,14,3
2025,00-0036971,T.Lawrence,715,0.12109,0.14741,86.6,-2.4,24.5,-3.9,3.8,1.8,-1.8,-3.8,0.6,18.8,105.4,21,15,6
2025,00-0033873,P.Mahomes,632,0.18102,0.14509,114.4,-15.4,-1.1,-4,-1,-8.1,1.3,3.9,1.7,-22.7,91.7,13,16,-3
