nflfastr_id,name,plays,qb_epa_per,qb_epa_adj_per,qb_epa,receiver_adj,yac_adj,drop_adj,int_adj,blocking_adj,weather_adj,fumble_adj,sos_adj,play_action_adj,dpi_adj,total_adj,qb_epa_adj
00-0033873,P.Mahomes,722,0.3086,0.2792,222.8,8.6,-33.3,8.6,-2.6,-3.3,-0.6,-5.6,-2.2,4,2.6,-21.2,201.6
00-0034857,J.Allen,709,0.2451,0.2091,173.7,-12.1,-6.1,-13.9,-2.4,6.3,4.9,-3.2,-2.9,1.8,-0.3,-25.5,148.2
00-0036212,T.Tagovailoa,435,0.2376,0.1898,103.4,-18.2,0.5,-4.7,-8.9,5.5,-1.5,-0.1,2.5,-4.5,-0.3,-20.8,82.6
00-0033119,J.Brissett,436,0.1161,0.1749,50.6,12.2,6.5,1.2,-10,-2.6,0.4,5,3,1.1,-1.2,25.6,76.2
00-0036971,T.Lawrence,666,0.1276,0.1737,85,11.9,-4.4,10.5,-8.4,-5.5,6.9,8.6,1.3,0.4,1,30.7,115.7
00-0035710,D.Jones,615,0.1103,0.1619,67.9,8.8,2.3,13.4,-7.7,6.9,1.6,-2.1,0.7,-1,1.1,31.7,99.6
00-0031345,J.Garoppolo,341,0.2345,0.1506,80,-8.1,-19.4,8,-12.1,-5.3,-3,0.8,-1.1,0.8,-1.3,-28.6,51.4
00-0036389,J.Hurts,641,0.2161,0.1489,138.5,-22.4,3,-6.6,5.9,-12.3,-0.1,-1.4,-5.4,1.9,0.2,-43.1,95.4
00-0034796,L.Jackson,448,0.125,0.1286,56,-9.4,0.7,7.6,-6.9,-5.8,0.3,3.9,4.7,-1.4,1,1.6,57.6
00-0033106,J.Goff,629,0.1575,0.1237,99.1,10.5,-22,-13.3,-6.3,0.4,-2.1,6.5,1.5,-2.8,0,-21.3,77.8
00-0036442,J.Burrow,697,0.1475,0.1185,102.8,-7.5,-13.9,-11.8,5.9,4.8,-1.5,1.1,2.6,5.7,0.3,-20.2,82.6
00-0029701,R.Tannehill,376,0.0341,0.1184,12.8,7.4,-7.5,10.8,-1,13.7,2.5,2,3.3,-1.6,1.1,31.7,44.5
00-0033077,D.Prescott,452,0.1503,0.1131,67.9,-1.5,-7.8,2.5,21.5,-1,-3.7,-2.4,0,-0.9,-2,-16.8,51.1
00-0038122,D.Ridder,140,0.0239,0.1068,3.4,4.4,8.1,-2,-5.7,-0.9,0,3.4,0.4,-1.2,-0.6,11.6,15.0
00-0019596,T.Brady,779,0.0861,0.1041,67.1,5.1,15.2,-3.4,-13,-10.2,-4.5,6.1,1.7,5.1,-1.1,14,81.1
00-0037834,B.Purdy,197,0.2209,0.0874,43.5,-3.2,-6.5,-9.6,0.3,-3,0.3,0.1,-3.3,-0.1,-1,-26.3,17.2
00-0030565,G.Smith,667,0.0877,0.0833,58.5,-19.9,24.4,-12.9,3.1,3.9,1.5,3,-2.3,-0.6,0,-2.9,55.6
00-0034401,M.White,189,-0.0167,0.0711,-3.2,5.6,-1.5,14.8,-1.8,1.5,2.1,-3.5,-2.2,-0.6,0.4,16.6,13.4
00-0034869,S.Darnold,170,0.1347,0.0688,22.9,2.8,-3.2,-6.4,2.1,-1.4,1.3,-2.4,-0.6,-1.4,0.1,-11.2,11.7
00-0036945,J.Fields,519,0.0127,0.0651,6.6,3.6,7.9,7,-4.4,7,12.7,-13.4,3.5,-1.9,0.8,27.2,33.8
00-0036355,J.Herbert,770,0.0575,0.0493,44.3,-2.4,12.8,-7.1,9.4,1,-3.9,1.1,-5.6,-2.8,0.6,-6.3,38.0
00-0027973,A.Dalton,420,0.0352,0.0469,14.8,1.1,0.8,4.6,10.6,-0.7,-0.7,-2,-0.6,1.7,0.7,4.9,19.7
00-0032268,M.Mariota,396,0.0433,0.0422,17.1,9.9,3,-1.6,5.4,-2.3,-0.2,-4.2,-0.9,-3.7,-0.4,-0.4,16.7
00-0038102,K.Pickett,469,0.0376,0.0412,17.6,-12.5,6.4,-0.6,-0.4,-1.2,6.7,-0.8,2.4,2.6,-1.3,1.7,19.3
00-0023459,A.Rodgers,594,0.0187,0.0401,11.1,3.9,5.5,16.6,6.1,-11.2,2,4.3,-5.8,-1.7,-0.9,12.7,23.8
00-0031280,D.Carr,549,0.0648,0.0362,35.6,-19.2,2.8,5.1,10.7,-2.7,-2.6,-2.5,3.4,0.4,-0.4,-15.7,19.9
00-0035228,K.Murray,475,0.0309,0.0189,14.7,-0.3,-0.4,8.4,-2.5,-3.4,-6.2,-5,-2.4,2.7,0.9,-5.7,9.0
00-0036972,M.Jones,507,-0.0336,-0.0066,-17,4.7,12.3,2.3,2.7,-3.9,-2.4,-1.4,-1.2,3,0.3,13.7,-3.3
00-0033537,D.Watson,212,-0.0486,-0.0076,-10.3,6.3,-2.1,-1.6,4.2,-1.3,5.9,-1,2.1,-0.5,0.9,8.7,-1.6
00-0026143,M.Ryan,523,-0.0533,-0.0084,-27.9,8.3,9.5,1.2,1.5,4.3,-2.6,0,0.3,1.6,0.9,23.5,-4.4
00-0031800,T.Heinicke,296,-0.0762,-0.009,-22.6,13.1,0.6,-6.2,-7.4,2.9,-1.5,7.3,2.5,-0.1,1.3,19.9,-2.7
00-0029604,K.Cousins,708,0.034,-0.0107,24.1,-29.8,2.2,3,12.6,2,-5.7,0,-0.1,-2.9,-0.4,-31.7,-7.6
00-0026498,M.Stafford,332,-0.0617,-0.0367,-20.5,0,-6.3,3.6,14.8,5.7,-5,4.1,5.3,-0.2,1.1,8.3,-12.2
