season,week,game_id,team,score,adj_score,game_drives,plays,success_rate,total_epa,exp_epa,adj_epa,pass_rate,pass_over_exp,epa_turnover,penalty_epa,special_epa,fumble_lost,conversion_third,epa_third,conversion_fourth,epa_fourth
2025,1,2025_01_ARI_NO,ARI,20,18.5,19,68,0.412,1.3,9.2,4.1,62.1,2.5,NA,0.8,-2.2,NA,6-13,1.6,NA,NA
2025,1,2025_01_ARI_NO,NO,13,20.3,19,78,0.423,-8.6,18.4,8.7,69.9,-0.5,NA,-1.6,-3.5,NA,5-14,-3.8,1-2,-1.9
2025,1,2025_01_BAL_BUF,BAL,40,31,23,50,0.52,26.3,5.2,18.8,45.1,-10.1,-5.3,-0.6,5.5,2-1,6-11,8.9,NA,NA
2025,1,2025_01_BAL_BUF,BUF,41,28.8,23,84,0.488,23.4,17.3,16.7,69.2,0.9,NA,3.2,2.2,1-0,7-14,3.6,1-1,4
2025,1,2025_01_CAR_JAX,CAR,10,13.4,20,49,0.347,-12.4,10.8,-4.2,68.3,0.4,-9.9,3.5,3.4,1-1,8-15,-0.5,0-2,-7
2025,1,2025_01_CAR_JAX,JAX,26,24.5,20,48,0.479,8.7,14.2,10.7,52.4,-0.3,-2.9,-6.5,5.4,NA,5-12,1.8,2-2,4.1
2025,1,2025_01_CIN_CLE,CIN,17,18.1,20,55,0.418,-4.5,10.7,-0.6,55.8,-1.4,NA,1.5,0.5,NA,7-14,0.9,NA,NA
2025,1,2025_01_CIN_CLE,CLE,16,18.5,20,78,0.397,-7.9,21.9,4.5,69.7,5,-7.5,2.1,-3.9,NA,9-16,3.8,2-3,2.3
2025,1,2025_01_DAL_PHI,DAL,20,22.1,16,60,0.483,10.3,18.2,11,65,3,-5.8,5,3.6,1-1,7-11,6.3,0-1,-2.6
2025,1,2025_01_DAL_PHI,PHI,24,23.3,16,61,0.508,15,8.6,10.8,55.9,-0.6,NA,0.4,4.3,NA,8-12,6.8,NA,NA
2025,1,2025_01_DET_GB,DET,13,16,18,50,0.4,-5.4,8.7,-0.1,66.7,-4.3,-3.8,1.3,-0.5,NA,5-15,-7.6,3-4,5.5
2025,1,2025_01_DET_GB,GB,27,22.1,18,43,0.465,12.7,14.6,9.5,51.1,-0.5,NA,2.4,0.1,NA,4-10,2.4,1-1,1.6
2025,1,2025_01_HOU_LA,HOU,9,12.8,18,66,0.348,-9.2,7.8,-1.7,60.3,-6.6,-8.4,-1.9,2.3,1-1,2-9,-1.6,1-1,1.7
2025,1,2025_01_HOU_LA,LA,14,18.7,18,61,0.426,-3.4,12.3,4.7,58.6,1.2,-5.7,1.6,-0.2,2-1,7-13,-0.1,1-1,2.6
2025,1,2025_01_KC_LAC,KC,21,19.6,16,64,0.422,10.4,15.8,13.6,79.7,10.7,NA,-3.9,2.3,1-0,5-14,-1.6,3-3,10.2
2025,1,2025_01_KC_LAC,LAC,27,26.5,16,64,0.547,18.6,21.8,14.8,69.4,14.4,NA,-1.1,2,1-0,7-12,9.7,1-1,2.4
2025,1,2025_01_LV_NE,LV,20,24.1,23,60,0.45,10.2,14.1,7.4,62.3,7.9,-3.5,-0.7,2.4,NA,5-13,3.7,1-1,2.5
2025,1,2025_01_LV_NE,NE,13,19.9,23,75,0.4,-4.5,16.1,1.8,76.1,8.5,-3.7,0.5,-0.5,1-0,4-14,-3.2,1-1,1.7
2025,1,2025_01_MIA_IND,IND,33,24,14,60,0.517,16,15.5,16.4,46.6,-4.2,NA,0.4,3.7,NA,7-15,0.7,3-3,6.1
2025,1,2025_01_MIA_IND,MIA,8,11,14,28,0.393,-14.2,3.9,-6.4,78.3,6.5,-12.5,-0.1,3.2,1-1,5-10,-4.1,1-2,0.6
2025,1,2025_01_MIN_CHI,CHI,24,19.9,26,72,0.375,-10,11.5,-0.9,68.7,0.8,NA,-0.7,-5.8,1-1,3-12,-1.9,0-1,-3.5
2025,1,2025_01_MIN_CHI,MIN,27,20.6,26,58,0.414,-4.8,5.6,-5.8,50.9,-4.2,-9.7,3.6,0.6,NA,3-12,-11.6,NA,NA
2025,1,2025_01_NYG_WAS,NYG,6,14.6,19,68,0.368,-6.1,10.6,-1.5,75,7.1,NA,7.3,1.3,1-0,4-16,-7.4,1-2,-1.1
