era,gap,key,n,W,L,P,rate,ci_lo,ci_hi
ALL,0.5-0.5,touches 3/7,89,42,38,9,0.525,0.41695642649729936,0.6307526670259243
ALL,0.5-0.5,no key involved,244,117,124,3,0.4854771784232365,0.42310202470633923,0.548308045983011
ALL,1.0-1.0,crosses 3/7,50,25,25,0,0.5,0.3664451431682858,0.6335548568317142
ALL,1.0-1.0,touches 3/7,113,52,51,10,0.5048543689320388,0.4098754392292435,0.5994842233122258
ALL,1.0-1.0,no key involved,231,115,114,2,0.5021834061135371,0.4379253778654674,0.5663693899351846
ALL,1.5-2.0,crosses 3/7,125,58,67,0,0.464,0.37895506479187424,0.5511916435551253
ALL,1.5-2.0,touches 3/7,194,106,77,11,0.5792349726775956,0.5067993177279767,0.6484124868845659
ALL,1.5-2.0,no key involved,348,186,159,3,0.5391304347826087,0.4863895287209892,0.5910095284073613
ALL,0.5-1.0,crosses 3/7,50,25,25,0,0.5,0.3664451431682858,0.6335548568317142
ALL,0.5-1.0,touches 3/7,202,94,89,19,0.5136612021857924,0.4417127641436626,0.5850478918240173
ALL,0.5-1.0,no key involved,475,232,238,5,0.49361702127659574,0.44865281399205176,0.5386847228817099
ALL,1.5-9.0,crosses 3/7,198,96,102,0,0.48484848484848486,0.4161895573859214,0.5540841414118558
ALL,1.5-9.0,touches 3/7,256,140,99,17,0.5857740585774058,0.5224482123716346,0.6463862205917789
ALL,1.5-9.0,no key involved,453,245,202,6,0.5480984340044742,0.5017471592797159,0.5936300496231185
fit<=2021,0.5-0.5,touches 3/7,64,28,30,6,0.4827586206896552,0.35928185424055,0.6083773821659053
fit<=2021,0.5-0.5,no key involved,183,85,95,3,0.4722222222222222,0.40063556665872385,0.5449697387813658
fit<=2021,1.0-1.0,crosses 3/7,40,19,21,0,0.475,0.32935470112678905,0.6250263789330752
fit<=2021,1.0-1.0,touches 3/7,84,43,33,8,0.5657894736842105,0.4538575306835998,0.6713906818078296
fit<=2021,1.0-1.0,no key involved,179,89,88,2,0.5028248587570622,0.4298925806714473,0.5756371247761929
fit<=2021,1.5-2.0,crosses 3/7,88,44,44,0,0.5,0.39774166700838975,0.6022583329916102
fit<=2021,1.5-2.0,touches 3/7,156,91,56,9,0.6190476190476191,0.5384595311498067,0.6935721680503756
fit<=2021,1.5-2.0,no key involved,238,127,109,2,0.538135593220339,0.47442768557947135,0.6006218912889583
fit<=2021,0.5-1.0,crosses 3/7,40,19,21,0,0.475,0.32935470112678905,0.6250263789330752
fit<=2021,0.5-1.0,touches 3/7,148,71,63,14,0.5298507462686567,0.44569401154818994,0.6123436794951593
fit<=2021,0.5-1.0,no key involved,362,174,183,5,0.48739495798319327,0.43595604183073594,0.5391022565438081
fit<=2021,1.5-9.0,crosses 3/7,143,75,68,0,0.5244755244755245,0.44305846825994305,0.6046119924956097
fit<=2021,1.5-9.0,touches 3/7,206,119,73,14,0.6197916666666666,0.5494137829607808,0.6854700882940594
fit<=2021,1.5-9.0,no key involved,305,167,133,5,0.5566666666666666,0.5000873808268701,0.6118130824343481
test2022-25,0.5-0.5,touches 3/7,25,14,8,3,0.6363636363636364,0.42951708090131013,0.8026679532963387
test2022-25,0.5-0.5,no key involved,61,32,29,0,0.5245901639344263,0.40157156924985693,0.6446951257715474
test2022-25,1.0-1.0,crosses 3/7,10,6,4,0,0.6,0.3126737697336583,0.8318196702937639
test2022-25,1.0-1.0,touches 3/7,29,9,18,2,0.3333333333333333,0.18643261498715646,0.5217523949267993
test2022-25,1.0-1.0,no key involved,52,26,26,0,0.5,0.36885862959780547,0.6311413704021945
test2022-25,1.5-2.0,crosses 3/7,37,14,23,0,0.3783783783783784,0.24063999175798256,0.5389956956078233
test2022-25,1.5-2.0,touches 3/7,38,15,21,2,0.4166666666666667,0.2714056205144607,0.5779974842512833
test2022-25,1.5-2.0,no key involved,110,59,50,1,0.5412844036697247,0.4479295400173968,0.6318283795811177
test2022-25,0.5-1.0,crosses 3/7,10,6,4,0,0.6,0.3126737697336583,0.8318196702937639
test2022-25,0.5-1.0,touches 3/7,54,23,26,5,0.46938775510204084,0.3370350369317515,0.6061913601633809
test2022-25,0.5-1.0,no key involved,113,58,55,0,0.5132743362831859,0.42220800085413385,0.6034678168759736
test2022-25,1.5-9.0,crosses 3/7,55,21,34,0,0.38181818181818183,0.2651595425889379,0.5139077976751006
test2022-25,1.5-9.0,touches 3/7,50,21,26,3,0.44680851063829785,0.3141096626549529,0.5875454016178127
test2022-25,1.5-9.0,no key involved,148,78,69,1,0.5306122448979592,0.45018681618818585,0.6094784778918609
