k,n,land_prob,ci_lo,ci_hi,land_fit,land_test,land_minus_k
1,1692,0.022458628841607566,0.016405844778378698,0.03067488815535717,0.022690437601296597,0.021834061135371178,0.02364066193853428
2,2363,0.0279305966991113,0.022014480888925943,0.03537907976315875,0.028620492272467088,0.025974025974025976,0.02158273381294964
3,2627,0.08793300342596118,0.0776964094227058,0.09937296785155729,0.0811088295687885,0.10751104565537556,0.07346783403121432
4,2506,0.029928172386272944,0.023942904590459706,0.037352384910806245,0.029875067897881587,0.03007518796992481,0.019154030327214685
5,2509,0.026703866082104424,0.02108261458937749,0.0337722025885374,0.02469784550709406,0.033003300330033,0.015942606616181746
6,1659,0.040988547317661245,0.03246072213646384,0.051637168302153966,0.04015748031496063,0.043701799485861184,0.030138637733574444
7,1409,0.061745919091554295,0.0503304382453306,0.0755445902020504,0.06284658040665435,0.0581039755351682,0.017033356990773598
8,1357,0.03168754605747973,0.023609388269213178,0.04240966063494851,0.030418250950570342,0.036065573770491806,0.0058953574060427415
9,1078,0.006493506493506494,0.0031489591028890087,0.013342790843672427,0.007009345794392523,0.0045045045045045045,0.0037105751391465678
10,600,0.03666666666666667,0.024336895975690734,0.05489161363033859,0.03512396694214876,0.04310344827586207,0.005
11,565,0.01415929203539823,0.007191812299984545,0.027688660128710914,0.01312910284463895,0.018518518518518517,0.005309734513274336
12,511,0.015655577299412915,0.007953800401974607,0.03058516820817454,0.017241379310344827,0.009523809523809525,0.003913894324853229
13,301,0.03322259136212625,0.018144135903168407,0.06006523533172496,0.021551724137931036,0.07246376811594203,0.009966777408637873
14,249,0.05220883534136546,0.03076171569549392,0.08726267381673632,0.05913978494623656,0.031746031746031744,0.0
