k,n,land_prob,ci_lo,ci_hi,land_fit,land_test
34,155,0.03225806451612903,0.013855877121099633,0.0732842116407321,0.030303030303030304,0.03571428571428571
35,295,0.020338983050847456,0.009354070049051803,0.04365550527295549,0.01507537688442211,0.03125
36,417,0.03117505995203837,0.018307805761264877,0.05260122231861479,0.017605633802816902,0.06015037593984962
37,620,0.03387096774193549,0.02225876213607174,0.05122378406621582,0.03695150115473441,0.026737967914438502
38,912,0.019736842105263157,0.012520390838539256,0.030982180962476354,0.02108433734939759,0.016129032258064516
39,1232,0.025974025974025976,0.018457982264636567,0.03643697075420136,0.024943310657596373,0.02857142857142857
40,1540,0.03831168831168831,0.029817015722745564,0.04910394997911226,0.040671971706454466,0.03178484107579462
41,1898,0.03951527924130664,0.031640474479629116,0.0492503159210014,0.03553660270078181,0.05091649694501019
42,2177,0.02067064768029398,0.015484152772229132,0.02754577883565564,0.019195046439628483,0.02491103202846975
43,2393,0.03635603844546594,0.029569041038541348,0.04462921607446627,0.03587443946188341,0.03776683087027915
44,2538,0.041371158392434985,0.03429140737184465,0.04983715150369884,0.04177545691906005,0.04012841091492777
45,2504,0.02476038338658147,0.019363129882202235,0.03161356099713718,0.023646873357856018,0.028286189683860232
46,2465,0.02718052738336714,0.02145991014683653,0.03437253641558374,0.0272,0.02711864406779661
47,2190,0.034703196347031964,0.027815927200858945,0.0432199528961774,0.0345855694692904,0.03508771929824561
48,1889,0.026469031233456855,0.02013486286557853,0.034725230322252935,0.025135869565217392,0.03117505995203837
49,1605,0.024299065420560748,0.017825724937369714,0.03304408474585736,0.023274478330658106,0.027855153203342618
50,1325,0.02490566037735849,0.0177884236919015,0.034769733910041685,0.02804642166344294,0.013745704467353952
51,1025,0.050731707317073174,0.03889529596078986,0.0659230488834265,0.049443757725587144,0.05555555555555555
52,776,0.02190721649484536,0.01372206641075585,0.034802487384985425,0.01594896331738437,0.04697986577181208
53,572,0.022727272727272728,0.01332920874755235,0.038493143331453095,0.016842105263157894,0.05154639175257732
54,445,0.029213483146067417,0.0171505976836969,0.04933492461876796,0.03234501347708895,0.013513513513513514
55,321,0.04361370716510903,0.026154824735911634,0.07186671148145267,0.050359712230215826,0.0
56,233,0.012875536480686695,0.004388330087975522,0.03716460945942361,0.014423076923076924,0.0
57,152,0.02631578947368421,0.010280235864764096,0.06570377320639395,0.029197080291970802,0.0
