latent,pool_n,market,fav_win,push,dog_win,ev_fav,ev_dog,ev_formula_E,side_E,pub_A,pub_B,pub_C
2.25,501,0.5,0.5409181636726547,0.0,0.4590818363273453,0.03266194882961345,-0.12357103973870448,0.052502684304457974,1,2.5,2.5,2.5
2.25,501,1.0,0.5169660678642715,0.023952095808383235,0.4590818363273453,0.010887316276537818,-0.09961894393032122,0.03187501375782462,1,2.5,2.5,2.5
2.25,501,1.5,0.5169660678642715,0.0,0.48303393213572854,-0.013064779531845441,-0.07784431137724554,0.009184576156528103,1,2.5,2.5,2.5
2.25,501,2.0,0.48502994011976047,0.031936127744510975,0.48303393213572854,-0.042097622935946336,-0.04590818363273453,-0.01683405318207835,1,2.5,2.5,2.5
2.25,501,2.5,0.48502994011976047,0.0,0.5149700598802395,-0.07403375068045726,-0.016875340228633684,-0.04545454545454549,-1,2.5,2.5,2.5
2.25,501,3.0,0.4031936127744511,0.08183632734530938,0.5149700598802395,-0.14843041190346576,0.06496098711667568,0.035654284114243,-1,2.5,2.5,2.5
2.25,501,3.5,0.4031936127744511,0.0,0.5968063872255489,-0.2302667392487752,0.13935764833968425,0.10938958372223255,-1,2.5,2.5,2.5
2.25,501,4.0,0.37924151696606784,0.023952095808383235,0.5968063872255489,-0.2520413718018509,0.16330974414806745,0.13926465162011412,-1,2.5,2.5,2.5
2.25,501,4.5,0.37924151696606784,0.0,0.6207584830339321,-0.27599346761023413,0.1850843767011431,0.16642380425455208,-1,2.5,2.5,2.5
2.75,1064,0.5,0.5657894736842105,0.0,0.4342105263157895,0.0801435406698564,-0.17105263157894735,0.052502684304457974,1,3.0,2.5,3.0
2.75,1064,1.0,0.5422932330827067,0.023496240601503758,0.4342105263157895,0.05878332194121659,-0.14755639097744355,0.03187501375782462,1,3.0,2.5,3.0
2.75,1064,1.5,0.5422932330827067,0.0,0.45770676691729323,0.035287081339712846,-0.12619617224880378,0.009184576156528103,1,3.0,2.5,3.0
2.75,1064,2.0,0.5046992481203008,0.03759398496240601,0.45770676691729323,0.001110731373889254,-0.08860218728639789,-0.01683405318207835,1,3.0,2.5,3.0
2.75,1064,2.5,0.5046992481203008,0.0,0.49530075187969924,-0.03648325358851673,-0.05442583732057425,-0.04545454545454549,1,3.0,2.5,3.0
2.75,1064,3.0,0.4182330827067669,0.08646616541353383,0.49530075187969924,-0.11508885850991114,0.03204032809295967,0.035654284114243,-1,3.0,2.5,3.0
