k,mass_fit,mass_full,n_full
1,0.022690437601296597,0.022458628841607566,1692
2,0.028620492272467088,0.0279305966991113,2363
3,0.0811088295687885,0.08793300342596118,2627
4,0.029875067897881587,0.029928172386272944,2506
5,0.02469784550709406,0.026703866082104424,2509
6,0.04015748031496063,0.040988547317661245,1659
7,0.06284658040665435,0.061745919091554295,1409
8,0.030418250950570342,0.03168754605747973,1357
9,0.007009345794392523,0.006493506493506494,1078
10,0.03512396694214876,0.03666666666666667,600
11,0.01312910284463895,0.01415929203539823,565
12,0.017241379310344827,0.015655577299412915,511
13,0.021551724137931036,0.03322259136212625,301
14,0.05913978494623656,0.05220883534136546,249
