gid,season,week,gameday,game_type,team,opp,pts,pts_allowed,is_home,plays,pr_all,proe,proe_fastr,expl_off,expl20_off,expl_off_n,epa_off,succ_off,spp_neut,spp_neut_n,spp_neut_run,spp_neut_run_n,plays_neut,pr_neut,nh_neut,proe_neut,pr_wp,def_plays,expl_def,expl20_def,epa_def,succ_def,pts_off,drives,ppd
2009_01_TEN_PIT,2009,1,2009-09-10,REG,TEN,PIT,10.0,13.0,0,61,0.5901639344262295,-2.215363324907869,,0.06557377049180328,0.04918032786885246,4,-0.03866076068960979,0.36065573770491804,30.324324324324323,37,33.666666666666664,18,45.0,0.5555555555555556,0.0,-4.490577990758316,0.5833333333333334,70,0.05714285714285714,0.05714285714285714,-0.16127895772761042,0.4142857142857143,10.0,12,0.8333333333333334
2009_01_TEN_PIT,2009,1,2009-09-10,REG,PIT,TEN,13.0,10.0,1,70,0.6714285714285714,12.080712957517958,,0.05714285714285714,0.05714285714285714,4,-0.16127895772761042,0.4142857142857143,37.07142857142857,28,40.94117647058823,17,37.0,0.5135135135135135,0.02702702702702703,-7.44622518151807,0.6086956521739131,61,0.06557377049180328,0.04918032786885246,-0.03866076068960979,0.36065573770491804,13.0,13,1.0
2009_01_CHI_GB,2009,1,2009-09-13,REG,CHI,GB,15.0,21.0,0,68,0.5441176470588235,-4.976122748259264,,0.11764705882352941,0.08823529411764706,8,-0.35481308808186757,0.35294117647058826,31.833333333333332,36,39.27777777777778,18,45.0,0.5777777777777777,0.15555555555555556,-1.7526648926288058,0.58,53,0.05660377358490566,0.018867924528301886,-0.12244323397219481,0.39622641509433965,13.0,13,1.0
2009_01_CHI_GB,2009,1,2009-09-13,REG,GB,CHI,21.0,15.0,1,53,0.6226415094339622,0.1907179978206321,,0.05660377358490566,0.018867924528301886,3,-0.12244323397219481,0.39622641509433965,31.642857142857142,28,38.23076923076923,13,41.0,0.6097560975609756,0.0,-0.5191303759011607,0.6136363636363636,68,0.11764705882352941,0.08823529411764706,-0.35481308808186757,0.35294117647058826,21.0,13,1.6153846153846154
2009_01_DAL_TB,2009,1,2009-09-13,REG,DAL,TB,34.0,21.0,0,52,0.5384615384615384,0.5330338096783691,,0.15384615384615385,0.11538461538461539,8,0.34120062671328916,0.4230769230769231,30.923076923076923,26,36.785714285714285,14,31.0,0.5161290322580645,0.03225806451612903,-10.094047568203864,0.5454545454545454,73,0.1095890410958904,0.0684931506849315,0.17510202712422604,0.4246575342465753,34.0,11,3.090909090909091
2009_01_DAL_TB,2009,1,2009-09-13,REG,TB,DAL,21.0,34.0,1,73,0.5753424657534246,-9.913586953675381,,0.1095890410958904,0.0684931506849315,8,0.17510202712422604,0.4246575342465753,34.73913043478261,23,38.0,15,28.0,0.39285714285714285,0.0,-12.776075649883552,0.4411764705882353,52,0.15384615384615385,0.11538461538461539,0.34120062671328916,0.4230769230769231,21.0,11,1.9090909090909092
2009_01_DEN_CIN,2009,1,2009-09-13,REG,DEN,CIN,12.0,7.0,0,52,0.6153846153846154,2.9988109384382002,,0.11538461538461539,0.07692307692307693,6,-0.10281920085459086,0.36538461538461536,36.08695652173913,23,39.5,14,31.0,0.5483870967741935,0.0,-1.6587752714631614,0.5641025641025641,63,0.047619047619047616,0.047619047619047616,-0.13260421775901018,0.4126984126984127,12.0,11,1.0909090909090908
2009_01_DEN_CIN,2009,1,2009-09-13,REG,CIN,DEN,7.0,12.0,1,63,0.5714285714285714,-7.688439807866056,,0.047619047619047616,0.047619047619047616,3,-0.13260421775901018,0.4126984126984127,34.30769230769231,39,40.80952380952381,21,47.0,0.5319148936170213,0.0,-7.92536726286049,0.5416666666666666,52,0.11538461538461539,0.07692307692307693,-0.10281920085459086,0.36538461538461536,7.0,11,0.6363636363636364
2009_01_DET_NO,2009,1,2009-09-13,REG,DET,NO,27.0,45.0,0,54,0.6481481481481481,5.7106300782670205,,0.037037037037037035,0.037037037037037035,2,-0.07019536954481873,0.35185185185185186,28.75,4,33.5,2,6.0,0.5,0.0,-8.506748471680975,0.45454545454545453,69,0.11594202898550725,0.07246376811594203,0.2626360292537308,0.5797101449275363,20.0,13,1.5384615384615385
2009_01_DET_NO,2009,1,2009-09-13,REG,NO,DET,45.0,27.0,1,69,0.4927536231884058,2.5779426519954534,,0.11594202898550725,0.07246376811594203,8,0.2626360292537308,0.5797101449275363,34.73684210526316,19,37.09090909090909,11,24.0,0.5,0.0,2.7106536927565714,0.47619047619047616,54,0.037037037037037035,0.037037037037037035,-0.07019536954481873,0.35185185185185186,45.0,14,3.2142857142857144
