game_id,team,opp,plays,expl20,expl15,epa_sum,succ,pass_plays,pace_secs,pace_plays,rz_trips,rz_td,season,game_date,old_game_id
,PIT,TEN,70,4,6,-11.289527040932729,29,47,1117.0,36,3,1,2009,2009-09-10,2009091000
,TEN,PIT,61,3,8,-2.358306402066197,22,36,1144.0,39,3,1,2009,2009-09-10,2009091000
,ATL,MIA,62,3,5,0.5245023481241692,25,38,754.0,27,5,2,2009,2009-09-13,2009091300
,MIA,ATL,55,2,4,-20.146277431931505,22,33,704.0,18,2,1,2009,2009-09-13,2009091300
,BAL,KC,85,4,9,19.693164797880623,43,44,1592.0,51,5,5,2009,2009-09-13,2009091301
,KC,BAL,44,3,3,-8.235599665219901,14,27,470.0,14,2,2,2009,2009-09-13,2009091301
,CAR,PHI,68,1,4,-47.85639263106662,19,39,583.0,18,4,1,2009,2009-09-13,2009091302
,PHI,CAR,62,1,6,-9.233305973107951,25,31,175.0,6,3,3,2009,2009-09-13,2009091302
,CIN,DEN,63,3,7,-8.22146150105863,26,36,1353.0,40,2,1,2009,2009-09-13,2009091303
,DEN,CIN,52,4,4,-5.346598444438724,19,32,925.0,30,1,1,2009,2009-09-13,2009091303
,CLE,MIN,60,1,6,-14.4166425132467,22,40,794.0,24,3,1,2009,2009-09-13,2009091304
,MIN,CLE,62,2,5,7.872176507665041,31,26,1418.0,41,6,4,2009,2009-09-13,2009091304
,HOU,NYJ,48,1,3,-17.35809418821261,17,35,531.0,15,1,0,2009,2009-09-13,2009091305
,NYJ,HOU,70,8,10,15.896880404161035,25,30,590.0,21,4,3,2009,2009-09-13,2009091305
,IND,JAX,67,3,7,3.108327476250108,27,39,1407.0,46,3,2,2009,2009-09-13,2009091306
,JAX,IND,56,2,3,-4.665925794079148,22,29,1048.0,34,2,1,2009,2009-09-13,2009091306
,DET,NO,54,2,3,-3.790549955420211,19,35,115.0,4,4,2,2009,2009-09-13,2009091307
,NO,DET,69,5,9,17.859249989253694,40,34,660.0,19,9,6,2009,2009-09-13,2009091307
,DAL,TB,52,6,9,17.401231962377746,22,28,811.0,27,5,4,2009,2009-09-13,2009091308
,TB,DAL,73,5,8,12.7824479800685,31,42,878.0,27,4,3,2009,2009-09-13,2009091308
,ARI,SF,61,3,6,-12.786227494166813,21,44,1066.0,31,2,1,2009,2009-09-13,2009091309
,SF,ARI,60,1,3,-11.17613523477039,18,35,920.0,27,3,2,2009,2009-09-13,2009091309
,NYG,WAS,59,6,8,-0.5991816861692844,23,30,855.0,24,4,1,2009,2009-09-13,2009091310
,WAS,NYG,50,3,7,-5.740131121466397,19,29,178.0,5,3,2,2009,2009-09-13,2009091310
,LA,SEA,57,2,4,-17.65557958664108,17,39,557.0,20,2,0,2009,2009-09-13,2009091311
,SEA,LA,70,4,4,9.473673299607805,34,36,891.0,33,5,4,2009,2009-09-13,2009091311
,CHI,GB,68,6,7,-24.127289989566993,24,37,1233.0,40,5,1,2009,2009-09-13,2009091312
,GB,CHI,53,1,3,-6.489491400526325,21,33,930.0,30,3,2,2009,2009-09-13,2009091312
,BUF,NE,48,3,10,6.690983072442193,21,29,796.0,23,2,2,2009,2009-09-14,2009091400
,NE,BUF,79,2,7,3.254504892686565,36,56,1575.0,49,5,3,2009,2009-09-14,2009091400
,LAC,LV,61,3,8,2.696143424722956,25,39,954.0,32,4,3,2009,2009-09-14,2009091401
,LV,LAC,64,3,7,-0.5154701123200247,25,32,1330.0,42,4,2,2009,2009-09-14,2009091401
,ATL,CAR,64,4,8,10.454742800118753,33,27,1368.0,43,5,4,2009,2009-09-20,2009092000
,CAR,ATL,67,6,11,8.702150195760847,29,42,1094.0,36,4,2,2009,2009-09-20,2009092000
,DET,MIN,66,2,2,-11.990296607992414,28,32,1240.0,38,2,1,2009,2009-09-20,2009092001
,MIN,DET,53,2,2,-1.8871782042140612,25,31,740.0,21,5,3,2009,2009-09-20,2009092001
,CIN,GB,59,3,3,-0.9215735054614478,26,25,1216.0,34,4,4,2009,2009-09-20,2009092002
,GB,CIN,62,5,9,-1.1954793845469749,26,44,863.0,31,3,2,2009,2009-09-20,2009092002
,ARI,JAX,56,2,10,13.948162786372016,29,32,640.0,16,3,3,2009,2009-09-20,2009092003
,JAX,ARI,67,4,11,-7.491463858829958,22,47,285.0,9,3,2,2009,2009-09-20,2009092003
,KC,LV,79,3,6,-2.815306634399491,33,41,1416.0,48,3,1,2009,2009-09-20,2009092004
,LV,KC,48,1,4,-9.534272886709331,15,26,761.0,25,1,1,2009,2009-09-20,2009092004
,NE,NYJ,66,1,5,-8.696441592024819,23,46,1273.0,41,3,0,2009,2009-09-20,2009092005
,NYJ,NE,53,2,5,-6.560011174907791,19,24,897.0,29,3,1,2009,2009-09-20,2009092005
,NO,PHI,65,5,13,16.25094520603912,28,36,872.0,30,7,5,2009,2009-09-20,2009092006
,PHI,NO,75,5,10,-5.982464440298071,35,54,725.0,28,6,2,2009,2009-09-20,2009092006
,HOU,TEN,66,6,7,9.328655991085377,24,39,1248.0,40,6,4,2009,2009-09-20,2009092007
,TEN,HOU,60,3,7,6.029416302166721,24,34,850.0,34,4,4,2009,2009-09-20,2009092007
,LA,WAS,50,2,2,-3.830801639008411,18,29,978.0,31,2,1,2009,2009-09-20,2009092008
,WAS,LA,67,3,7,2.084226329104648,28,37,1234.0,42,5,0,2009,2009-09-20,2009092008
,BUF,TB,68,6,6,-2.2550583371200226,33,33,572.0,21,6,2,2009,2009-09-20,2009092009
,TB,BUF,71,4,7,-16.53167147697625,22,52,616.0,18,3,3,2009,2009-09-20,2009092009
,SEA,SF,65,2,6,-15.484831228514466,24,42,208.0,9,3,1,2009,2009-09-20,2009092010
,SF,SEA,60,2,6,9.466058552781858,24,31,648.0,19,4,2,2009,2009-09-20,2009092010
,CHI,PIT,55,2,5,5.352278178914427,23,38,980.0,31,2,2,2009,2009-09-20,2009092011
,PIT,CHI,57,4,7,11.560348168476244,26,36,1180.0,35,3,2,2009,2009-09-20,2009092011
,CLE,DEN,55,2,4,-16.838745214078344,18,35,1082.0,33,1,0,2009,2009-09-20,2009092012
,DEN,CLE,73,6,8,12.666480128440483,30,37,1233.0,48,6,3,2009,2009-09-20,2009092012
,BAL,LAC,60,3,5,3.4468909611996015,32,28,1012.0,33,5,4,2009,2009-09-20,2009092013
,LAC,BAL,67,8,12,7.131759090324862,26,46,900.0,31,7,2,2009,2009-09-20,2009092013
,DAL,NYG,58,7,9,2.625072240205456,26,29,1009.0,38,4,4,2009,2009-09-20,2009092014
,NYG,DAL,64,7,10,7.678080197569323,23,38,1235.0,35,7,2,2009,2009-09-20,2009092014
,IND,MIA,35,5,9,15.641901325074963,14,24,525.0,19,3,3,2009,2009-09-21,2009092100
,MIA,IND,82,1,7,16.921687255121324,44,33,1821.0,51,2,2,2009,2009-09-21,2009092100
,BAL,CLE,66,5,10,19.151974715226615,31,38,443.0,15,7,4,2009,2009-09-27,2009092700
,CLE,BAL,51,1,3,-16.988249080974505,15,28,290.0,8,1,0,2009,2009-09-27,2009092700
,CIN,PIT,58,3,5,4.286291339458783,26,39,216.0,6,3,2,2009,2009-09-27,2009092701
,PIT,CIN,60,5,7,2.972745140351895,29,32,1077.0,28,4,2,2009,2009-09-27,2009092701
,DET,WAS,73,6,10,8.468299394185985,29,37,1099.0,34,4,2,2009,2009-09-27,2009092702
,WAS,DET,56,5,10,5.479273275982026,26,42,572.0,22,3,2,2009,2009-09-27,2009092702
,HOU,JAX,59,6,11,12.61406838140882,25,37,1165.0,38,5,3,2009,2009-09-27,2009092703
,JAX,HOU,58,5,8,17.51447312060128,28,30,1146.0,37,4,4,2009,2009-09-27,2009092703
,MIN,SF,72,5,8,-4.762680724034322,23,45,1140.0,40,4,3,2009,2009-09-27,2009092704
,SF,MIN,51,4,5,-6.30295456898035,17,25,664.0,21,3,2,2009,2009-09-27,2009092704
,ATL,NE,44,3,5,-1.3025456500608132,19,28,828.0,28,2,1,2009,2009-09-27,2009092705
,NE,ATL,79,3,9,15.575037338929143,38,42,1586.0,54,6,2,2009,2009-09-27,2009092705
,KC,PHI,51,2,2,-10.839652478833887,14,22,110.0,4,2,2,2009,2009-09-27,2009092706
,PHI,KC,61,3,6,8.411538255383842,28,36,454.0,14,6,4,2009,2009-09-27,2009092706
,GB,LA,59,5,7,13.7529307147682,26,25,619.0,21,6,4,2009,2009-09-27,2009092707
,LA,GB,69,2,6,-8.532361859653822,26,36,466.0,15,2,2,2009,2009-09-27,2009092707
,NYG,TB,74,3,4,13.166773814261665,33,27,727.0,19,5,3,2009,2009-09-27,2009092708
,TB,NYG,35,0,2,-21.03311230783194,10,26,81.0,2,1,0,2009,2009-09-27,2009092708
,BUF,NO,60,1,2,-5.980989360925929,22,39,913.0,37,1,1,2009,2009-09-27,2009092709
,NO,BUF,65,4,10,6.188462980443981,29,31,1252.0,40,5,3,2009,2009-09-27,2009092709
,CHI,SEA,57,4,6,-0.3694639530440478,27,30,514.0,16,5,3,2009,2009-09-27,2009092710
,SEA,CHI,75,4,7,-6.069165696418779,29,47,1057.0,37,3,1,2009,2009-09-27,2009092710
,NYJ,TEN,61,1,5,-18.62465973960712,19,33,961.0,28,4,3,2009,2009-09-27,2009092711
,TEN,NYJ,69,5,6,-18.065259040574684,22,39,620.0,27,3,2,2009,2009-09-27,2009092711
,DEN,LV,67,4,6,3.911737663848265,32,23,945.0,27,6,2,2009,2009-09-27,2009092712
,LV,DEN,47,0,3,-20.424678487979843,14,24,103.0,4,1,0,2009,2009-09-27,2009092712
,LAC,MIA,63,3,8,-0.9553508059192524,23,35,998.0,35,6,1,2009,2009-09-27,2009092713
,MIA,LAC,63,1,1,-9.311949289634681,30,32,1349.0,36,4,1,2009,2009-09-27,2009092713
,ARI,IND,70,2,10,-14.789111544308522,29,58,576.0,18,5,1,2009,2009-09-27,2009092714
