gid,team,plays,no_huddle_rate,pass_rate,off_epa,def_epa,poss_sec,drives,sec_per_play,season
2009_01_BUF_NE,BUF,48,0.3333333333333333,0.6041666666666666,0.14236134196685515,0.0411962644643869,1316.0,9,27.416666666666668,2009
2009_01_BUF_NE,NE,79,0.13924050632911392,0.7088607594936709,0.0411962644643869,0.14236134196685515,2178.0,11,27.569620253164558,2009
2009_01_CHI_GB,CHI,68,0.10294117647058823,0.5441176470588235,-0.35481308808186757,-0.12244323397219481,1888.0,13,27.764705882352942,2009
2009_01_CHI_GB,GB,53,0.018867924528301886,0.6226415094339622,-0.12244323397219481,-0.35481308808186757,1512.0,13,28.528301886792452,2009
2009_01_DAL_TB,DAL,52,0.019230769230769232,0.5384615384615384,0.34120062671328916,0.17510202712422604,1484.0,11,28.53846153846154,2009
2009_01_DAL_TB,TB,73,0.0410958904109589,0.5753424657534246,0.17510202712422604,0.34120062671328916,1941.0,11,26.589041095890412,2009
2009_01_DEN_CIN,CIN,63,0.0,0.5714285714285714,-0.13260421775901018,-0.10281920085459086,1917.0,11,30.428571428571427,2009
2009_01_DEN_CIN,DEN,52,0.0,0.6153846153846154,-0.10281920085459086,-0.13260421775901018,1501.0,11,28.865384615384617,2009
2009_01_DET_NO,DET,54,0.018518518518518517,0.6481481481481481,-0.07019536954481873,0.2626360292537308,1312.0,13,24.296296296296298,2009
2009_01_DET_NO,NO,69,0.0,0.4927536231884058,0.2626360292537308,-0.07019536954481873,2105.0,14,30.507246376811594,2009
2009_01_JAX_IND,IND,67,0.029850746268656716,0.582089552238806,0.04639294740671803,-0.08332010346569907,1947.0,10,29.059701492537314,2009
2009_01_JAX_IND,JAX,56,0.017857142857142856,0.5178571428571429,-0.08332010346569907,0.04639294740671803,1498.0,10,26.75,2009
2009_01_KC_BAL,BAL,85,0.4823529411764706,0.5176470588235295,0.23168429173977204,-0.19152557360976513,2330.0,11,27.41176470588235,2009
2009_01_KC_BAL,KC,44,0.045454545454545456,0.6136363636363636,-0.19152557360976513,0.23168429173977204,1131.0,11,25.704545454545453,2009
2009_01_MIA_ATL,ATL,62,0.0,0.6129032258064516,0.00845971529232531,-0.36629595330784553,1743.0,11,28.112903225806452,2009
2009_01_MIA_ATL,MIA,55,0.0,0.6,-0.36629595330784553,0.00845971529232531,1613.0,11,29.327272727272728,2009
2009_01_MIN_CLE,CLE,60,0.26666666666666666,0.6666666666666666,-0.24027737522077833,0.1269705888333071,1499.0,12,24.983333333333334,2009
2009_01_MIN_CLE,MIN,62,0.0,0.41935483870967744,0.1269705888333071,-0.24027737522077833,1906.0,13,30.741935483870968,2009
2009_01_NYJ_HOU,HOU,48,0.0,0.7291666666666666,-0.3616269622544294,0.22709829148801478,1179.0,9,24.5625,2009
2009_01_NYJ_HOU,NYJ,70,0.0,0.42857142857142855,0.22709829148801478,-0.3616269622544294,2254.0,11,32.2,2009
2009_01_PHI_CAR,CAR,68,0.07352941176470588,0.5735294117647058,-0.7037704798686267,-0.14892428988883794,1569.0,15,23.073529411764707,2009
2009_01_PHI_CAR,PHI,62,0.03225806451612903,0.5,-0.14892428988883794,-0.7037704798686267,1786.0,13,28.806451612903224,2009
2009_01_SD_OAK,LAC,61,0.0,0.639344262295082,0.044199072536441904,-0.008054220505000386,1632.0,12,26.75409836065574,2009
2009_01_SD_OAK,LV,64,0.03125,0.5,-0.008054220505000386,0.044199072536441904,1780.0,11,27.8125,2009
2009_01_SF_ARI,ARI,61,0.0,0.7213114754098361,-0.21310379156944687,-0.1862689205795065,1591.0,14,26.081967213114755,2009
2009_01_SF_ARI,SF,60,0.0,0.5833333333333334,-0.1862689205795065,-0.21310379156944687,1798.0,13,29.966666666666665,2009
2009_01_STL_SEA,LA,57,0.05263157894736842,0.6842105263157895,-0.31527820690430497,0.1353381899943972,1526.0,13,26.771929824561404,2009
2009_01_STL_SEA,SEA,70,0.0,0.5142857142857142,0.1353381899943972,-0.31527820690430497,1864.0,12,26.62857142857143,2009
2009_01_TEN_PIT,PIT,70,0.17142857142857143,0.6714285714285714,-0.16127895772761042,-0.03866076068960979,2065.0,13,29.5,2009
2009_01_TEN_PIT,TEN,61,0.0,0.5901639344262295,-0.03866076068960979,-0.16127895772761042,1574.0,12,25.80327868852459,2009
2009_01_WAS_NYG,NYG,59,0.0,0.5084745762711864,-0.010155621799479396,-0.11480262242932794,2043.0,10,34.6271186440678,2009
2009_01_WAS_NYG,WAS,50,0.08,0.58,-0.11480262242932794,-0.010155621799479396,1348.0,10,26.96,2009
2009_02_ARI_JAX,ARI,56,0.0,0.5714285714285714,0.24907433547092886,-0.11181289341537251,1801.0,11,32.160714285714285,2009
2009_02_ARI_JAX,JAX,67,0.08955223880597014,0.7014925373134329,-0.11181289341537251,0.24907433547092886,1602.0,12,23.91044776119403,2009
2009_02_BAL_SD,BAL,60,0.0,0.4666666666666667,0.05842188069829833,0.10644416552723675,1638.0,12,27.3,2009
2009_02_BAL_SD,LAC,67,0.0,0.6865671641791045,0.10644416552723675,0.05842188069829833,1836.0,11,27.402985074626866,2009
2009_02_CAR_ATL,ATL,64,0.0,0.421875,0.16335535625185552,0.131850760541831,1844.0,9,28.8125,2009
2009_02_CAR_ATL,CAR,67,0.0,0.6268656716417911,0.131850760541831,0.16335535625185552,1661.0,10,24.791044776119403,2009
2009_02_CIN_GB,CIN,59,0.01694915254237288,0.423728813559322,-0.015619889923075387,-0.019281925557209274,1969.0,12,33.3728813559322,2009
2009_02_CIN_GB,GB,62,0.03225806451612903,0.7096774193548387,-0.019281925557209274,-0.015619889923075387,1486.0,12,23.967741935483872,2009
2009_02_CLE_DEN,CLE,55,0.0,0.6363636363636364,-0.3061590038923335,0.1735134264169929,1522.0,12,27.672727272727272,2009
2009_02_CLE_DEN,DEN,73,0.0,0.5068493150684932,0.1735134264169929,-0.3061590038923335,1902.0,12,26.054794520547944,2009
2009_02_HOU_TEN,HOU,66,0.0,0.5909090909090909,0.14134327259220267,0.10049027170277869,1924.0,14,29.151515151515152,2009
2009_02_HOU_TEN,TEN,60,0.05,0.5666666666666667,0.10049027170277869,0.14134327259220267,1474.0,13,24.566666666666666,2009
2009_02_IND_MIA,IND,35,0.17142857142857143,0.6857142857142857,0.4469114664307132,0.20890971919902868,846.0,8,24.17142857142857,2009
2009_02_IND_MIA,MIA,82,0.08536585365853659,0.4024390243902439,0.20890971919902868,0.4469114664307132,2672.0,9,32.58536585365854,2009
2009_02_LV_KC,KC,79,0.02531645569620253,0.5189873417721519,-0.035636792840499885,-0.19863068513977775,2233.0,11,28.265822784810126,2009
2009_02_LV_KC,LV,48,0.0,0.5416666666666666,-0.19863068513977775,-0.035636792840499885,1131.0,11,23.5625,2009
2009_02_MIN_DET,DET,66,0.07575757575757576,0.48484848484848486,-0.1816711607271578,-0.03560713592856719,1705.0,11,25.833333333333332,2009
2009_02_MIN_DET,MIN,53,0.0,0.5849056603773585,-0.03560713592856719,-0.1816711607271578,1658.0,11,31.28301886792453,2009
2009_02_NE_NYJ,NE,66,0.3787878787878788,0.696969696969697,-0.1317642665458306,-0.12377379575297719,1770.0,11,26.818181818181817,2009
2009_02_NE_NYJ,NYJ,53,0.018867924528301886,0.4528301886792453,-0.12377379575297719,-0.1317642665458306,1641.0,12,30.962264150943398,2009
2009_02_NO_PHI,NO,65,0.0,0.5538461538461539,0.25001454163137105,-0.08084411405808205,1769.0,12,27.215384615384615,2009
2009_02_NO_PHI,PHI,75,0.16,0.72,-0.08084411405808205,0.25001454163137105,1677.0,14,22.36,2009
