away,home,elo_sum,pf_dev,pa_dev,qb_sum,div_game,roof,env,epa_sum_dev,home_rest,away_rest,pf_home,pa_home,pf_away,pa_away
NE,SEA,7.182,11.21,-10.026,0.034,0,outdoors,-0.5,-0.2058,7,7,28.41,17.18,28.82,18.82
SF,LA,4.605,10.151,-3.849,-0.075,1,dome,2.0,0.3105,7,7,30.47,20.35,25.71,21.82
CHI,CAR,-0.559,-1.79,0.739,0.32,0,outdoors,-0.5,0.1892,7,7,18.29,22.35,25.94,24.41
TB,CIN,-0.674,0.68,7.092,0.347,0,outdoors,-0.5,0.0649,7,7,24.35,28.94,22.35,24.18
NO,DET,0.776,0.268,0.798,0.282,0,dome,2.0,-0.1519,7,7,28.29,24.29,18.0,22.53
BUF,HOU,4.918,6.033,-7.202,0.147,0,retractable,2.0,-0.1558,7,7,23.76,17.35,28.29,21.47
BAL,IND,1.6,6.327,1.621,0.431,0,retractable,2.0,-0.0077,7,7,27.41,24.24,24.94,23.41
CLE,JAX,-0.149,-1.732,-3.967,-0.201,0,outdoors,-0.5,-0.4068,7,7,27.88,19.76,16.41,22.29
ATL,PIT,-0.577,-1.908,0.327,0.741,0,outdoors,-0.5,-0.0513,7,7,23.35,22.76,20.76,23.59
NYJ,TEN,-8.042,-11.673,11.68,-0.058,0,outdoors,-0.5,-0.0422,7,7,16.71,28.12,17.65,29.59
ARI,LAC,-3.587,-3.496,2.68,-0.428,0,dome,2.0,-0.1074,7,7,21.65,20.0,20.88,28.71
MIA,LV,-5.161,-11.438,4.327,0.6,0,dome,2.0,-0.2093,7,7,14.18,25.41,20.41,24.94
GB,MIN,2.319,-2.79,-5.261,1.286,1,dome,2.0,-0.2264,7,7,20.24,19.59,23.0,21.18
WAS,PHI,1.408,-2.79,-0.379,0.25,1,outdoors,-0.5,0.0642,7,7,22.29,19.12,20.94,26.53
DAL,NYG,-1.508,4.092,9.857,0.088,1,outdoors,-0.5,0.3065,7,7,22.41,25.82,27.71,30.06
DEN,KC,4.01,-1.143,-8.438,0.746,1,outdoors,-0.5,-0.216,7,7,21.29,19.29,23.59,18.29
